[2025-03-25T13:53:57.661Z] IP: ::1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T13:54:54.843Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T13:55:37.709Z] IP: ::1 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.3
[2025-03-25T13:55:42.620Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /favicon.ico | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.3
[2025-03-25T13:55:45.814Z] IP: ::1 | Method: GET | URL: /ads.txt | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.3
[2025-03-25T13:55:45.908Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /app-ads.txt | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.3
[2025-03-25T13:55:46.007Z] IP: ::1 | Method: GET | URL: /sellers.json | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.3
[2025-03-25T14:16:49.771Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:17:18.897Z] IP: ::1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T14:17:53.409Z] IP: ::ffff:127.0.0.1 | Method: POST | URL: /api/generate-proof | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
