[2025-03-27T21:30:36.891Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: /?fbclid=IwZXh0bgNhZW0CMTEAAR0XYUyEkgMmZlpnsMjQwMG0AUcR7vHf9SD4p3-A9Vh3tgYWcQCa5P2oHfI_aem_DSmoY06SoiGjjhMqJgA7bA | User-Agent: Mozilla/5.0 (Linux; Android 11.0; Surface Duo) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.105 Mobile Safari/537.36
[2025-03-27T21:33:00.299Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: /.env | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36
[2025-03-27T21:33:00.566Z] IP: ::ffff:167.71.56.2 | Method: POST | URL: / | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36
[2025-03-27T21:33:07.146Z] IP: ::ffff:167.71.56.2 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-03-27T21:34:52.264Z] IP: ::ffff:167.71.56.2 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: curl/7.81.0
[2025-03-27T21:35:38.854Z] IP: ::ffff:167.71.56.2 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-03-27T21:35:52.555Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: Python/3.11 aiohttp/3.11.11
[2025-03-27T21:36:14.173Z] IP: ::ffff:167.71.56.2 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-03-27T21:37:47.414Z] IP: ::ffff:167.71.56.2 | Method: POST | URL: /api/battleship/generate-proof | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-03-27T21:41:33.956Z] IP: ::ffff:167.71.56.2 | Method: GET | URL: / | User-Agent: undefined
